preboard1,preboard2,revalida,gwa,board_passer
82.45,57.57,87.57,75.422,PASSER
72.93,61.6,70.78,83.233,NOT_PASSER
84.72,81.21,88.7,87.078,PASSER
97.85,79.16,93.56,87.068,PASSER
71.49,69.69,84.13,70.672,PASSER
71.49,71.76,98.77,73.457,PASSER
98.69,89.16,72.26,74.513,PASSER
86.51,61.13,67.55,83.189,NOT_PASSER
67.96,78.21,62.21,76.752,NOT_PASSER
83.14,66.97,94.96,85.006,PASSER
68.05,66.73,86.54,,NOT_PASSER
68.01,86.48,79.44,88.387,PASSER
78.63,82.38,82.8,87.284,PASSER
46.3,82.2,68.75,,NOT_PASSER
49.13,89.58,100.0,,PASSER
66.57,70.32,81.29,70.031,NOT_PASSER
59.81,80.23,81.09,72.94,NOT_PASSER
79.71,65.35,87.26,,PASSER
61.38,74.86,84.81,75.481,NOT_PASSER
53.82,68.05,82.24,69.843,NOT_PASSER
96.98,71.45,72.1,82.325,PASSER
71.61,78.93,84.71,,NOT_PASSER
76.01,57.73,98.82,74.603,NOT_PASSER
53.63,100.0,93.45,78.507,PASSER
66.83,54.91,95.93,75.4,PASSER
76.66,51.79,74.89,,NOT_PASSER
57.74,87.37,70.1,69.862,PASSER
80.64,81.87,78.74,80.493,PASSER
65.99,79.36,80.56,79.5,PASSER
70.62,79.43,90.94,71.094,PASSER
65.97,69.82,63.08,75.296,PASSER
100.0,56.54,95.3,75.384,PASSER
74.8,71.14,78.42,68.694,NOT_PASSER
59.13,59.84,75.73,81.428,NOT_PASSER
87.34,84.63,69.88,89.621,PASSER
56.69,67.79,63.45,77.49,NOT_PASSER
78.13,57.62,88.23,73.422,NOT_PASSER
45.6,65.18,80.73,63.872,PASSER
55.08,76.19,67.1,76.746,PASSER
77.95,61.54,67.05,73.226,NOT_PASSER
86.08,57.67,76.64,,NOT_PASSER
77.57,73.66,96.69,81.224,PASSER
73.27,73.67,77.4,68.078,NOT_PASSER
70.48,62.4,64.97,81.161,NOT_PASSER
